Date,Title,Authors,Lang,Category,Tags,Length,Count,TotalTime,MeanTime
2021-10-02 17:00,Открытие конференции HolyJS 2021 Moscow,"Алексей Золотых, Юлия Миоцен",RU,от организаторов,,15,384,3875,10
2021-10-02 17:15,Докручиваем ApolloClient до энтерпрайзной разработки,Павел Черторогов,RU,для практикующих инженеров,"#graphql, #frontend",60,252,6918,27
2021-10-02 17:15,Воркшоп: Пишем браузерное расширение с нуля. Часть 1,Семён Левенсон,RU,введение в технологию,"#workshop, #браузерные_расширения",60,259,7950,30
2021-10-02 17:15,React.memo — сплетни/исходники/грань полезности,Александр Бальцевич,RU,для практикующих инженеров,"#react, #performance, #optimizations",60,399,16021,40
2021-10-02 17:15,Фреймворки и паттерны разработки цифровых решений на производстве,"Илья Симоненко, Алексей Краснобаев, Алина Макеева, Павел Доронин, Олег Кондрашин",RU,от партнёра,#smoking_room,,,,
2021-10-02 18:00,Цинковый прод — что происходит?,"Алексей Золотых, Антон Околелов, Олег Грицак, Никита Васильченко, Юлия Миоцен",RU,,,60,262,3548,13
2021-10-02 18:15,Ещё один текстовый веб-редактор и в чём проблемы contenteditable?,Даниил Налетов,RU,от партнёра,#techtalk,30,247,3867,15
2021-10-02 18:45,Don't miss the Deno Train,Matthias Dugue,EN,введение в технологию,"#nodejs, #framework, #deno",60,172,3674,21
2021-10-02 18:45,Воркшоп: Пишем браузерное расширение с нуля. Часть 2,Семён Левенсон,RU,введение в технологию,"#workshop, #case-study, #браузерные_расширения",60,156,4784,30
2021-10-02 18:45,Web development best practices in 2021: What the data tells us,Laurie Voss,EN,введение в технологию,"#design, #react, #future, #libraries, #web",60,308,9024,29
2021-10-02 19:45,Как стать спикером и зачем это делать,"Лира Измайлова, Дмитрий Злыгин, Андрей Соколов",RU,от партнёра,#smoking_room,,,,
2021-10-03 16:50,Открытие,"Алексей Золотых, Юлия Миоцен",RU,от организаторов,,10,124,731,5
2021-10-03 17:00,Statoscope. Курс интенсивной терапии для вашего бандла. Часть 1,Сергей Мелюков,RU,для практикующих инженеров,"#ci/cd, #optimizations, #webpack, #lint, #monitoring",60,245,8311,33
2021-10-03 17:00,Расширения для браузера: Угроза или опасность?,Али Гасымов,RU,введение в технологию,"#браузерные_расширения, #security",,,,
2021-10-03 17:00,"Multicore JavaScript: past, present and future",Ujjwal Sharma,EN,введение в технологию,#standards,60,203,4812,23
2021-10-03 17:45,UnderHolyJS,"Алексей Золотых, Дмитрий Пацура, Артём Кобзарь, Юлия Миоцен",RU,от организаторов,,60,110,1661,15
2021-10-03 18:00,Поглощение через микрофронтенд: нужно просто вставить одно приложение в другое,Дмитрий Смирнов,RU,от партнёра,#techtalk,15,268,2898,10
2021-10-03 18:00,Agile-процессы в современных продуктовых компаниях,"Сергей Сергеев, Максим Кислов, Анастасия Асеева-Нгуен",RU,от партнёра,#smoking_room,,,,
2021-10-03 18:15,Функциональное программирование в JS — серебряная пуля,Надир Жумабаев,RU,от партнёра,#techtalk,15,293,3199,10
2021-10-03 18:30,Statoscope. Курс интенсивной терапии для вашего бандла. Часть 2,Сергей Мелюков,RU,для практикующих инженеров,"#ci/cd, #workshop, #optimizations, #webpack, #lint, #monitoring",60,133,3384,25
2021-10-03 18:30,Доска в клеточку. Рисуем математику в вебе,Антон Хайновский,RU,введение в технологию,#casestudy #graphics,60,171,4333,25
2021-10-03 18:30,RacketScript — язык будущего?,Сергей Головин,RU,будет подгорать,#languages,60,166,3870,23
2021-10-03 19:15,Собеседование с Павлом Чертороговым на позицию Tech Lead Frontend,"Евгений Кот, Павел Черторогов, Алексей Золотых, Владислав Козуля",RU,,,60,290,9992,34
2021-10-03 19:30,Использование многопоточности в браузере,Дмитрий Злыгин,RU,от партнёра,#techtalk,15,207,2428,11
2021-10-03 19:30,Как силами небольшой команды делать омниканальную систему,Андрей Журавков,RU,от партнёра,#smoking_room,,,,
2021-10-03 20:00,SolidJS - Getting Started,Ryan Carniato,EN,введение в технологию,#frameworks,60,120,2568,21
2021-10-03 20:00,"Звонки на 2000+ участников, или Что умеет WebRTC",Вадим Горбачев,RU,для практикующих инженеров,"#performance, #webrtc, #video",60,173,5530,31
2021-10-03 20:00,GraphQL platform at Uber,Диана Суворова,RU,для практикующих инженеров,"#ci/cd, #graphql, #figma, #monorepo, #bazel, #microservices",60,163,4016,24
2021-10-04 11:50,Открытие,"Таня Денисюк, Алексей Золотых",RU,от организаторов,,10,93,572,6
2021-10-04 12:00,Как и зачем мы мигрировали Авиасейлс на Effector,Игорь Камышев,RU,введение в технологию,#state-management,60,195,5672,29
2021-10-04 12:00,"MoleculerJS: высоконагруженные, отказоустойчивые и распределенные микросервисы",Иван Журавлев,RU,для практикующих инженеров,"#performance, #nodejs, #microservices, #backend",60,110,2031,18
2021-10-04 12:00,"Node.js: Меньше сложности, больше надежности",Тимур Шемсединов,RU,для практикующих инженеров,#nodejs,60,219,7680,35
2021-10-04 12:45,Интервью с ведущими подкаста «Фронтенд Юность»,"Александр Богачёв, Таня Денисюк, Алексей Золотых, Алексей Хлебаев, Роман Пономарев, Александр Шоронов",RU,,,60,103,1836,17
2021-10-04 13:00,Vue2 или Vue3 — что выбрать в 2021 году?,Михаил Тадевосян,RU,от партнёра,#techtalk,15,106,1016,9
2021-10-04 13:00,Разработка микрофронтов: на что обратить внимание при построении архитектуры,"Олег Гарипов, Ярослава Суспицина",RU,от партнёра,#smoking_room,,,,
2021-10-04 13:30,Картинки со звуком,Никита Дубко,RU,"будет подгорать","#audio, #graphics",60,139,3546,25
2021-10-04 13:30,Фронтендер и его 10 тысяч кроликов,Александр Коротаев,RU,для практикующих инженеров,"#rendering, #performance, #optimizations",60,217,6938,31
2021-10-04 13:30,The 2021 edition of dealing with files on the Web,Thomas Steiner,EN,введение в технологию,"#projectfugu, #webcapabilities, #standards",60,89,1868,20
2021-10-04 14:15,Игра «Holy Чудес»,"Дмитрий Коваленко, Таня Денисюк, Михаил Башуров, Алексей Золотых, Алексей Березин, Сергей Рубанов",RU,,,60,111,1234,11
2021-10-04 14:30,Нестандартный подход к выбору клиентской библиотеки GraphQL,Виктор Щеглов,RU,от партнёра,#techtalk,15,111,1024,9
2021-10-04 15:00,Человеческое введение в WebGL и хардкор с рисованием линий,Иван Попелышев,RU,хардкор,,60,125,3618,28
2021-10-04 15:00,OpenID Connect и OAuth2.0,Михаил Вовренчук,RU,для практикующих инженеров,"#oauth, #nodejs, #security",60,124,4369,35
2021-10-04 15:00,Разбор полетов: Microsoft To-Do,Алексей Мигуцкий,RU,введение в технологию,"#casestudy, #разговоры_у_куллера",60,88,2793,31
2021-10-04 16:00,Что веб грядущий нам готовит?,"Александр Мышов, Сергей Рубанов, Андрей Мелихов, Сергей Иванов",RU,,#smoking_room,,,,
2021-10-05 11:50,Открытие,"Таня Денисюк, Алексей Золотых",RU,от организаторов,,10,169,1103,6
2021-10-05 12:00,Воркшоп. GlimmerX — declarative UI & derived reactivity in 27kb*. Часть 1,Александр Канунников,RU,для практикующих инженеров,"#workshop, #frameworks, #rendering",60,109,2189,20
2021-10-05 12:00,Advanced types в TypeScript,Алексей Березин,RU,для практикующих инженеров,#typescript,60,407,11522,28
2021-10-05 12:00,"Считаете, что TDD не работает? У меня для вас плохие новости",Дмитрий Коваленко,RU,введение в технологию,"#goose, #testing, #tdd",60,264,8276,31
2021-10-05 12:45,Знакомство с Докой: редакция отвечает на вопросы,"Таня Денисюк, Алексей Золотых, Алена Батицкая, Николай Лопин, Игорь Коровченко",RU,,,60,163,3152,19
2021-10-05 13:00,Сделать выбор в пользу GraphQL или дать шанс REST?,Михаил Тадевосян,RU,от партнёра,#smoking_room,,,,
2021-10-05 13:30,Воркшоп. GlimmerX — declarative UI & derived reactivity in 27kb*. Часть 2,Александр Канунников,RU,для практикующих инженеров,"#workshop, #frameworks, #rendering",60,56,1030,18
2021-10-05 13:30,Множественное наследование на JavaScript,Виктор Вершанский,RU,академический доклад,#fundamentals,60,275,6897,25
2021-10-05 13:30,Ethereum & DeFi for JS developer,Артем Воробьев,RU,будет подгорать,"#web3, #blockchain, #fundamentals",60,155,4103,26
2021-10-05 14:15,Как прокачаться с мидла до сеньора,"Таня Денисюк, Михаил Башуров, Алексей Золотых, Станислав Цыганов",RU,,,60,298,8989,30
2021-10-05 14:30,Тонкости разработки дизайн-системы,Иван Гришин,RU,от партнёра,#smoking_room,,,,
2021-10-05 15:00,Как готовить production с Webpack 5 module federation,Вадим Малютин,RU,для практикующих инженеров,"#ci/cd, #microfrontend, #microservices",60,234,8014,34
2021-10-05 15:00,"JavaScript и «бабушкофон», или Самая большая платформа, о которой вы никогда не слышали",Никита Мостовой,RU,будет подгорать,"#performance, #optimizations",60,153,3250,21
2021-10-05 15:00,IPFS — InterPlanetary File System with Node.js,"Romulo Cintra, Javier Fernández",EN,введение в технологию,#standards,60,81,1665,20
2021-10-05 16:00,Закрытие конференции HolyJS 2021 Moscow,"Таня Денисюк, Михаил Башуров, Алексей Золотых, Анастасия Кряжева",RU,от организаторов,,15,135,1124,8
